EventName,Date,Status,eventsoldtickets,Tickets Available
Cross body2,"Monday, May 1, 2023, 2:30 PM",live,82,4668
Cross body2,"Monday, May 1, 2023, 2:30 PM",live,3,147
Cross body2,"Monday, May 1, 2023, 2:30 PM",live,3,147
Cross body2,"Monday, May 1, 2023, 2:30 PM",live,10,18940
Cross body2,"Monday, May 1, 2023, 2:30 PM",live,3,147
Cross body2,"Monday, May 1, 2023, 2:30 PM",live,1,10049
Cross body2,"Monday, May 1, 2023, 2:30 PM",live,0,150
Cross body0000000,"Monday, May 1, 2023, 2:30 PM",live,140,40773
Cross body0000000,"Monday, May 1, 2023, 2:30 PM",live,0,750
Cross body0000000,"Monday, May 1, 2023, 2:30 PM",live,0,150
Cross body0000000,"Monday, May 1, 2023, 2:30 PM",live,0,50100
Cross body00000001,"Monday, May 1, 2023, 2:30 PM",live,0,30100
Cross body00000001,"Monday, May 1, 2023, 2:30 PM",live,0,40100
Cross body00000001,"Monday, May 1, 2023, 2:30 PM",live,0,1100
Cross body000000012,"Monday, May 1, 2023, 2:30 PM",live,0,11700
Cross body0000000123,"Monday, May 1, 2023, 2:30 PM",live,0,100
Cross body0000000123,"Monday, May 1, 2023, 2:30 PM",live,0,2000
